customerID,subscriptionDescription,contractDescription,TotalCharges
7590-VHVEG,Is subscribed for 1 months at a monthly cost of 29.85,Month-to-month Electronic check paperless billing,29.85
5575-GNVDE,Is subscribed for 34 months at a monthly cost of 56.95,One year Mailed check,1889.5
3668-QPYBK,Was subscribed for 2 months at a monthly cost of 53.85,Month-to-month Mailed check paperless billing,108.15
7795-CFOCW,Is subscribed for 45 months at a monthly cost of 42.3,One year Bank transfer (automatic),1840.75
9237-HQITU,Was subscribed for 2 months at a monthly cost of 70.7,Month-to-month Electronic check paperless billing,151.65
9305-CDSKC,Was subscribed for 8 months at a monthly cost of 99.65,Month-to-month Electronic check paperless billing,820.5
1452-KIOVK,Is subscribed for 22 months at a monthly cost of 89.1,Month-to-month Credit card (automatic) paperless billing,1949.4
6713-OKOMC,Is subscribed for 10 months at a monthly cost of 29.75,Month-to-month Mailed check,301.9
7892-POOKP,Was subscribed for 28 months at a monthly cost of 104.8,Month-to-month Electronic check paperless billing,3046.05
6388-TABGU,Is subscribed for 62 months at a monthly cost of 56.15,One year Bank transfer (automatic),3487.95
9763-GRSKD,Is subscribed for 13 months at a monthly cost of 49.95,Month-to-month Mailed check paperless billing,587.45
7469-LKBCI,Is subscribed for 16 months at a monthly cost of 18.95,Two year Credit card (automatic),326.8
8091-TTVAX,Is subscribed for 58 months at a monthly cost of 100.35,One year Credit card (automatic),5681.1
0280-XJGEX,Was subscribed for 49 months at a monthly cost of 103.7,Month-to-month Bank transfer (automatic) paperless billing,5036.3
5129-JLPIS,Is subscribed for 25 months at a monthly cost of 105.5,Month-to-month Electronic check paperless billing,2686.05
3655-SNQYZ,Is subscribed for 69 months at a monthly cost of 113.25,Two year Credit card (automatic),7895.15
8191-XWSZG,Is subscribed for 52 months at a monthly cost of 20.65,One year Mailed check,1022.95
9959-WOFKT,Is subscribed for 71 months at a monthly cost of 106.7,Two year Bank transfer (automatic),7382.25
4190-MFLUW,Was subscribed for 10 months at a monthly cost of 55.2,Month-to-month Credit card (automatic),528.35
4183-MYFRB,Is subscribed for 21 months at a monthly cost of 90.05,Month-to-month Electronic check paperless billing,1862.9
8779-QRDMV,Was subscribed for 1 months at a monthly cost of 39.65,Month-to-month Electronic check paperless billing,39.65
1680-VDCWW,Is subscribed for 12 months at a monthly cost of 19.8,One year Bank transfer (automatic),202.25
1066-JKSGK,Was subscribed for 1 months at a monthly cost of 20.15,Month-to-month Mailed check,20.15
3638-WEABW,Is subscribed for 58 months at a monthly cost of 59.9,Two year Credit card (automatic) paperless billing,3505.1
6322-HRPFA,Is subscribed for 49 months at a monthly cost of 59.6,Month-to-month Credit card (automatic),2970.3
6865-JZNKO,Is subscribed for 30 months at a monthly cost of 55.3,Month-to-month Bank transfer (automatic) paperless billing,1530.6
6467-CHFZW,Was subscribed for 47 months at a monthly cost of 99.35,Month-to-month Electronic check paperless billing,4749.15
8665-UTDHZ,Was subscribed for 1 months at a monthly cost of 30.2,Month-to-month Electronic check,30.2
5248-YGIJN,Is subscribed for 72 months at a monthly cost of 90.25,Two year Credit card (automatic) paperless billing,6369.45
8773-HHUOZ,Was subscribed for 17 months at a monthly cost of 64.7,Month-to-month Mailed check paperless billing,1093.1
3841-NFECX,Is subscribed for 71 months at a monthly cost of 96.35,Two year Credit card (automatic) paperless billing,6766.95
4929-XIHVW,Is subscribed for 2 months at a monthly cost of 95.5,Month-to-month Credit card (automatic) paperless billing,181.65
6827-IEAUQ,Is subscribed for 27 months at a monthly cost of 66.15,One year Mailed check,1874.45
