customerID,customerDescription
7590-VHVEG,Female with partner
5575-GNVDE,Male
3668-QPYBK,Male
7795-CFOCW,Male
9237-HQITU,Female
9305-CDSKC,Female
1452-KIOVK,Male with dependents
6713-OKOMC,Female
7892-POOKP,Female with partner
6388-TABGU,Male with dependents
9763-GRSKD,Male with partner and dependents
7469-LKBCI,Male
8091-TTVAX,Male with partner
0280-XJGEX,Male
5129-JLPIS,Male
3655-SNQYZ,Female with partner and dependents
8191-XWSZG,Female
9959-WOFKT,Male with dependents
4190-MFLUW,Female with partner and dependents
4183-MYFRB,Female
8779-QRDMV,Male senior
1680-VDCWW,Male with partner
1066-JKSGK,Male
3638-WEABW,Female with partner
6322-HRPFA,Male with partner and dependents
6865-JZNKO,Female
6467-CHFZW,Male with partner and dependents
8665-UTDHZ,Male with partner and dependents
5248-YGIJN,Male with partner
8773-HHUOZ,Female with dependents
3841-NFECX,Female senior with partner
4929-XIHVW,Male senior with partner
6827-IEAUQ,Female with partner and dependents
7310-EGVHZ,Male
3413-BMNZE,Male senior
6234-RAAPL,Female with partner and dependents
6047-YHPVI,Male
6572-ADKRS,Female
5380-WJKOV,Male
8168-UQWWF,Female
8865-TNMNX,Male with partner and dependents
9489-DEDVP,Female with partner and dependents
9867-JCZSP,Female with partner and dependents
4671-VJLCL,Female
4080-IIARD,Female with partner
3714-NTNFO,Female
5948-UJZLF,Male
7760-OYPDY,Female
7639-LIAYI,Male
2954-PIBKO,Female with partner and dependents
8012-SOUDQ,Female senior
9420-LOJKX,Female
6575-SUVOI,Female senior with partner
7495-OOKFY,Female senior with partner
4667-QONEA,Female senior with partner and dependents
1658-BYGOY,Male senior
8769-KKTPH,Female with partner and dependents
5067-XJQFU,Male senior with partner and dependents
3957-SQXML,Female with partner and dependents
5954-BDFSG,Female
0434-CSFON,Female with partner
1215-FIGMP,Male
0526-SXDJP,Male with partner
0557-ASKVU,Female with partner and dependents
5698-BQJOH,Female
5122-CYFXA,Female
8627-ZYGSZ,Male with partner
3410-YOQBQ,Female
3170-NMYVV,Female with partner and dependents
7410-OIEDU,Male
2273-QCKXA,Male
0731-EBJQB,Female with partner and dependents
1891-QRQSA,Male senior with partner and dependents
8028-PNXHQ,Male with partner and dependents
5630-AHZIL,Female with dependents
2673-CXQEU,Female senior
6416-JNVRK,Female
5590-ZSKRV,Female with partner and dependents
0191-ZHSKZ,Male senior
3887-PBQAO,Female with partner and dependents
5919-TMRGD,Female with dependents
8108-UXRQN,Female with partner and dependents
9191-MYQKX,Female with partner
9919-YLNNG,Female
0318-ZOPWS,Female with partner
4445-ZJNMU,Male
4808-YNLEU,Female with partner
1862-QRWPE,Female with partner and dependents
2796-NNUFI,Female with partner and dependents
3016-KSVCP,Male with partner
4767-HZZHQ,Male with partner and dependents
2424-WVHPL,Male senior
7233-PAHHL,Male with partner and dependents
6067-NGCEU,Female
9848-JQJTX,Male
8637-XJIVR,Female
9803-FTJCG,Male with partner and dependents
0278-YXOOG,Male
3212-KXOCR,Male
4598-XLKNJ,Female senior with partner
6380-ARCEH,Male and uncertain dependents
3679-XASPY,Female with partner and dependents
7123-WQUHX,Male
