customerID,phoneDescription,internetDescription
7590-VHVEG,None,DSL with online backup
5575-GNVDE,Phone service,"DSL with online security, device protection"
3668-QPYBK,Phone service,"DSL with online security, online backup"
7795-CFOCW,None,"DSL with online security, device protection, tech support"
9237-HQITU,Phone service,Fiber optic
9305-CDSKC,Phone service with multiple lines,"Fiber optic with device protection, streaming tv, streaming movies"
1452-KIOVK,Phone service with multiple lines,"Fiber optic with online backup, streaming tv"
6713-OKOMC,None,DSL with online security
7892-POOKP,Phone service with multiple lines,"Fiber optic with device protection, tech support, streaming tv, streaming movies"
6388-TABGU,Phone service,"DSL with online security, online backup"
9763-GRSKD,Phone service,DSL with online security
7469-LKBCI,Phone service,None
8091-TTVAX,Phone service with multiple lines,"Fiber optic with device protection, streaming tv, streaming movies"
0280-XJGEX,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
5129-JLPIS,Phone service,"Fiber optic with online security, device protection, tech support, streaming tv, streaming movies"
3655-SNQYZ,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support, streaming tv, streaming movies"
8191-XWSZG,Phone service,None
9959-WOFKT,Phone service with multiple lines,"Fiber optic with online security, device protection, streaming tv, streaming movies"
4190-MFLUW,Phone service,"DSL with device protection, tech support"
4183-MYFRB,Phone service,"Fiber optic with online backup, device protection, streaming movies"
8779-QRDMV,None,"DSL with device protection, streaming movies"
1680-VDCWW,Phone service,None
1066-JKSGK,Phone service,None
3638-WEABW,Phone service with multiple lines,"DSL with online backup, tech support"
6322-HRPFA,Phone service,"DSL with online security, online backup, tech support"
6865-JZNKO,Phone service,"DSL with online security, online backup"
6467-CHFZW,Phone service with multiple lines,"Fiber optic with online backup, streaming tv, streaming movies"
8665-UTDHZ,None,DSL with online backup
5248-YGIJN,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support, streaming tv, streaming movies"
8773-HHUOZ,Phone service,"DSL with streaming tv, streaming movies"
3841-NFECX,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support"
4929-XIHVW,Phone service,"Fiber optic with device protection, streaming tv, streaming movies"
6827-IEAUQ,Phone service,"DSL with online security, online backup, device protection, tech support"
7310-EGVHZ,Phone service,None
3413-BMNZE,Phone service,DSL
6234-RAAPL,Phone service with multiple lines,"Fiber optic with online security, online backup, tech support, streaming tv"
6047-YHPVI,Phone service,Fiber optic
6572-ADKRS,Phone service,Fiber optic with device protection
5380-WJKOV,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
8168-UQWWF,Phone service with multiple lines,"Fiber optic with device protection, streaming tv, streaming movies"
8865-TNMNX,Phone service,DSL with online backup
9489-DEDVP,Phone service with multiple lines,"DSL with online security, online backup, streaming tv"
9867-JCZSP,Phone service,None
4671-VJLCL,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support, streaming tv"
4080-IIARD,Phone service with multiple lines,"DSL with online security, online backup, tech support, streaming tv"
3714-NTNFO,Phone service with multiple lines,Fiber optic with streaming movies
5948-UJZLF,Phone service,DSL with online backup
7760-OYPDY,Phone service,Fiber optic with streaming tv
7639-LIAYI,Phone service with multiple lines,"DSL with online security, tech support, streaming tv, streaming movies"
2954-PIBKO,Phone service with multiple lines,"DSL with online security, device protection, tech support"
8012-SOUDQ,Phone service with multiple lines,"Fiber optic with online backup, streaming tv"
9420-LOJKX,Phone service,"Fiber optic with online security, online backup, streaming tv, streaming movies"
6575-SUVOI,Phone service with multiple lines,"DSL with online security, tech support, streaming tv"
7495-OOKFY,Phone service with multiple lines,Fiber optic with online backup
4667-QONEA,Phone service,"DSL with online security, online backup, device protection, tech support, streaming movies"
1658-BYGOY,Phone service with multiple lines,"Fiber optic with streaming tv, streaming movies"
8769-KKTPH,Phone service with multiple lines,"Fiber optic with online security, streaming tv, streaming movies"
5067-XJQFU,Phone service with multiple lines,"Fiber optic with online backup, device protection, tech support, streaming tv, streaming movies"
3957-SQXML,Phone service with multiple lines,None
5954-BDFSG,Phone service with multiple lines,"Fiber optic with device protection, tech support, streaming tv, streaming movies"
0434-CSFON,Phone service with multiple lines,"Fiber optic with device protection, streaming tv, streaming movies"
1215-FIGMP,Phone service with multiple lines,"Fiber optic with online backup, streaming tv"
0526-SXDJP,None,"DSL with online security, online backup, device protection"
0557-ASKVU,Phone service,"DSL with device protection, tech support"
5698-BQJOH,Phone service with multiple lines,"Fiber optic with streaming tv, streaming movies"
5122-CYFXA,Phone service,"DSL with online backup, tech support, streaming tv, streaming movies"
8627-ZYGSZ,Phone service with multiple lines,Fiber optic with online backup
3410-YOQBQ,Phone service,"DSL with online backup, device protection, tech support, streaming tv, streaming movies"
3170-NMYVV,Phone service,None
7410-OIEDU,Phone service,"Fiber optic with online security, device protection"
2273-QCKXA,Phone service,DSL with tech support
0731-EBJQB,Phone service,None
1891-QRQSA,Phone service with multiple lines,"Fiber optic with online security, device protection, tech support, streaming tv, streaming movies"
8028-PNXHQ,Phone service with multiple lines,None
5630-AHZIL,Phone service,"DSL with online security, tech support, streaming movies"
2673-CXQEU,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, streaming tv, streaming movies"
6416-JNVRK,Phone service,DSL with streaming movies
5590-ZSKRV,Phone service,"DSL with online security, online backup"
0191-ZHSKZ,Phone service,"DSL with online security, online backup, streaming tv, streaming movies"
3887-PBQAO,Phone service with multiple lines,None
5919-TMRGD,Phone service,Fiber optic with streaming tv
8108-UXRQN,None,"DSL with online security, streaming tv, streaming movies"
9191-MYQKX,Phone service,Fiber optic with device protection
9919-YLNNG,Phone service,"Fiber optic with online backup, device protection, tech support, streaming tv, streaming movies"
0318-ZOPWS,Phone service,None
4445-ZJNMU,Phone service with multiple lines,"Fiber optic with online backup, streaming tv, streaming movies"
4808-YNLEU,Phone service,"DSL with online security, streaming tv"
1862-QRWPE,Phone service,None
2796-NNUFI,Phone service,None
3016-KSVCP,None,DSL with streaming tv
4767-HZZHQ,Phone service,"Fiber optic with online backup, device protection"
2424-WVHPL,Phone service,Fiber optic with tech support
7233-PAHHL,Phone service with multiple lines,"DSL with online security, device protection, tech support, streaming tv, streaming movies"
6067-NGCEU,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, streaming tv, streaming movies"
9848-JQJTX,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
8637-XJIVR,Phone service with multiple lines,Fiber optic with online security
9803-FTJCG,Phone service with multiple lines,"DSL with online security, online backup, tech support"
0278-YXOOG,Phone service,None
3212-KXOCR,Phone service,None
4598-XLKNJ,Phone service,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
6380-ARCEH,Phone service,None
3679-XASPY,Phone service,None
7123-WQUHX,Phone service with multiple lines,"Fiber optic with device protection, tech support, streaming tv"
5386-THSLQ,None,"DSL with online backup, device protection, streaming tv"
3192-NQECA,Phone service with multiple lines,"Fiber optic with online backup, device protection, tech support, streaming tv, streaming movies"
6180-YBIQI,None,DSL
6728-DKUCO,Phone service with multiple lines,"Fiber optic with online security, online backup, streaming tv, streaming movies"
9750-BOOHV,None,DSL with online security
8597-CWYHH,Phone service with multiple lines,"Fiber optic with streaming tv, streaming movies"
2848-YXSMW,Phone service,None
0486-HECZI,Phone service with multiple lines,"Fiber optic with online security, online backup, streaming tv"
4549-ZDQYY,Phone service,"DSL with online security, device protection, tech support"
5712-AHQNN,Phone service,"Fiber optic with online backup, device protection, streaming tv"
4846-WHAFZ,Phone service with multiple lines,Fiber optic
5256-SKJGO,None,"DSL with online backup, tech support, streaming tv, streaming movies"
3071-VBYPO,Phone service,"Fiber optic with online security, online backup, streaming tv"
9560-BBZXK,None,DSL with online security
5299-RULOA,Phone service with multiple lines,"Fiber optic with online security, streaming tv, streaming movies"
8402-OOOHJ,Phone service,None
9445-ZUEQE,Phone service with multiple lines,"Fiber optic with online backup, tech support"
1091-SOZGA,Phone service with multiple lines,"Fiber optic with device protection, streaming tv, streaming movies"
2928-HLDBA,Phone service,None
0404-SWRVG,Phone service with multiple lines,Fiber optic
6497-TILVL,Phone service,DSL with online security
7219-TLZHO,Phone service,None
4622-YNKIJ,Phone service,"Fiber optic with online security, tech support, streaming tv"
4412-YLTKF,Phone service with multiple lines,Fiber optic with device protection
6734-PSBAW,Phone service with multiple lines,None
3930-ZGWVE,Phone service,None
2639-UGMAZ,None,"DSL with online security, online backup, streaming tv, streaming movies"
2876-GZYZC,Phone service with multiple lines,Fiber optic with streaming movies
6207-WIOLX,None,"DSL with online security, online backup, device protection, streaming tv, streaming movies"
8587-XYZSF,Phone service,DSL with tech support
3091-FYHKI,None,DSL with streaming movies
2372-HWUHI,Phone service,DSL
7799-LGRDP,Phone service with multiple lines,None
7850-VWJUU,Phone service,Fiber optic with online security
3774-VBNXY,Phone service,None
6217-KDYWC,Phone service,None
0390-DCFDQ,Phone service,Fiber optic
3146-MSEGF,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support, streaming tv, streaming movies"
4080-OGPJL,Phone service with multiple lines,"DSL with online security, tech support, streaming movies"
1095-WGNGG,Phone service with multiple lines,"Fiber optic with online backup, streaming tv, streaming movies"
2636-SJDOU,Phone service with multiple lines,"Fiber optic with online security, online backup"
1131-QQZEB,Phone service with multiple lines,None
5716-EZXZN,Phone service with multiple lines,"Fiber optic with online security, online backup, tech support, streaming tv"
6837-BJYDQ,Phone service,None
2135-RXIHG,Phone service,DSL
6440-DKQGE,Phone service,"DSL with online backup, device protection, streaming tv"
3466-BYAVD,Phone service,"DSL with online backup, device protection, tech support, streaming movies"
3780-YVMFA,Phone service,"DSL with tech support, streaming tv, streaming movies"
3874-EQOEP,Phone service with multiple lines,"Fiber optic with streaming tv, streaming movies"
1679-JRFBR,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, streaming tv, streaming movies"
9073-ZZIAY,Phone service,"DSL with online security, online backup, device protection, tech support, streaming tv, streaming movies"
3077-RSNTJ,Phone service,None
